session,bar_ix,headline,company,sentiment,sentiment_score,confidence
0,6,Relvos Biosciences opens new office in Southeast Asia,Relvos,buy,0.3736,0.5995
0,12,Orevex Renewables secures $500M contract with a global retailer,Orevex,buy,0.9358,0.9481
0,14,Relvos Biosciences names new head of precision manufacturing division,Relvos,buy,0.021,0.8984
0,20,Calvis Sciences secures $650M contract with a leading cloud platform,Calvis,buy,0.935,0.9451
0,22,Yorvov Pharmaceuticals secures $180M contract with a national infrastructure agency,Yorvov,buy,0.9357,0.9478
0,26,Relvos Biosciences reports 3% decline in operating income,Relvos,sell,-0.9665,0.9748
0,26,Relvos Biosciences secures $320M contract with a leading cloud platform,Relvos,buy,0.9361,0.9482
0,33,Calvis Sciences expands operations into Asia Pacific markets,Calvis,buy,0.7515,0.7601
0,44,Yorvov Pharmaceuticals sees mixed results in supply chain optimization pilot program,Yorvov,sell,-0.9204,0.9473
0,47,Orevex Renewables secures $650M contract with a major logistics provider,Orevex,buy,0.9364,0.9503
0,48,Orevex Renewables faces class action over automated logistics service disruption,Orevex,sell,-0.9421,0.9535
1,3,Strynal Industries reports 15% decline in operating income,Strynal,sell,-0.9664,0.9747
1,5,"Jorvis Fuels reports record quarterly revenue, up 12% year-over-year",Jorvis,buy,0.9348,0.9557
1,6,Zrovex Industries loses key contract in Asia Pacific to competitor,Zrovex,sell,-0.9317,0.956
1,6,Strynal Industries reports 20% increase in customer acquisition,Strynal,buy,0.9383,0.9523
1,11,"Zrovex Industries reports strong demand in Latin America, raises outlook",Zrovex,buy,0.9346,0.9518
1,12,Jorvis Fuels secures $400M contract with an international consortium,Jorvis,buy,0.9226,0.9328
1,14,Halvav Brands sees mixed results in wireless connectivity pilot program,Halvav,sell,-0.9313,0.953
1,19,Zrovex Industries completes strategic acquisition to strengthen data analytics,Zrovex,buy,0.9232,0.9339
1,20,Jorvis Fuels sees 12% margin improvement in latest quarter,Jorvis,buy,0.9386,0.9571
1,26,Zrovex Industries faces class action over digital payments service disruption,Zrovex,sell,-0.9089,0.9221
1,29,Zrovex Industries reports rising costs pressuring margins in automated logistics,Zrovex,sell,-0.9085,0.9483
1,29,Jorvis Fuels secures $75M contract with a multinational manufacturer,Jorvis,buy,0.9298,0.941
1,33,Halvav Brands reports rising costs pressuring margins in digital payments,Halvav,sell,-0.9479,0.9667
1,44,Zrovex Industries sees 25% drop in new customer orders this quarter,Zrovex,sell,-0.9669,0.9754
1,45,Jorvis Fuels names new head of process automation division,Jorvis,buy,0.0308,0.9077
1,49,Jorvis Fuels recalls products in digital payments line due to quality concerns,Jorvis,sell,-0.9432,0.9511
2,3,Kelvik Power secures $800M contract with a leading cloud platform,Kelvik,buy,0.9366,0.9482
2,30,Zelval Energy to host investor day focused on digital payments strategy,Zelval,buy,0.0838,0.8938
2,31,Zelval Energy misses quarterly revenue estimates by 10%,Zelval,sell,-0.8558,0.9119
2,31,Kelvik Power withdraws from Scandinavia market citing unfavorable conditions,Kelvik,sell,-0.9538,0.9618
2,36,Kelvik Power secures $800M contract with a national infrastructure agency,Kelvik,buy,0.9336,0.9459
2,43,Kelvik Power launches next-generation wireless connectivity platform,Kelvik,buy,0.3961,0.5854
2,45,Kelvik Power recalls products in renewable storage line due to quality concerns,Kelvik,sell,-0.9532,0.9618
2,49,Kelvik Power misses quarterly revenue estimates by 15%,Kelvik,sell,-0.7977,0.8599
3,19,Krevan Investments withdraws from Asia Pacific market citing unfavorable conditions,Krevan,sell,-0.9488,0.9577
3,19,Talvix Holdings completes planned facility upgrade in Latin America,Talvix,buy,0.8559,0.8658
3,24,Talvix Holdings Chief Operating Officer steps down unexpectedly citing personal reasons,Talvix,sell,-0.8812,0.8903
3,26,Krevan Investments begins scheduled maintenance of precision manufacturing systems,Krevan,buy,0.1003,0.8668
3,36,Talvix Holdings files routine patent applications in wireless connectivity,Talvix,buy,0.0059,0.9475
3,38,Talvix Holdings loses key contract in Latin America to competitor,Talvix,sell,-0.9392,0.958
3,39,Relvan Software explores strategic alternatives for wireless connectivity unit,Relvan,buy,0.2573,0.7255
3,46,Relvan Software secures $120M contract with a leading cloud platform,Relvan,buy,0.9357,0.9485
3,49,"Relvan Software reports strong demand in Central Europe, raises outlook",Relvan,buy,0.9342,0.9533
4,0,Plevep Power withdraws from North America market citing unfavorable conditions,Plevep,sell,-0.9587,0.9669
4,15,Zelval Energy names new head of renewable storage division,Zelval,buy,0.0275,0.9133
4,20,Plevep Power reports 5% increase in customer acquisition,Plevep,buy,0.9367,0.9525
4,25,Frelol Software sees 15% drop in new customer orders this quarter,Frelol,sell,-0.9666,0.9754
4,31,Frelol Software revises long-term strategy with focus on enterprise software,Frelol,buy,0.1555,0.8223
4,38,Zelval Energy announces $8.4B share buyback program,Zelval,buy,0.1273,0.8221
5,1,Creven Securities secures $320M contract with a top-tier research institute,Creven,buy,0.9303,0.9428
5,4,Nolvol Resources reports 3% decline in operating income,Nolvol,sell,-0.9669,0.975
5,6,Urvel Grid names new head of cloud infrastructure division,Urvel,buy,0.0292,0.9166
5,16,Creven Securities launches next-generation precision manufacturing platform,Creven,buy,0.2178,0.7615
5,27,Ulvon Renewables sees 15% drop in new customer orders this quarter,Ulvon,sell,-0.9666,0.975
5,27,Nolvol Resources announces $9.6B share buyback program,Nolvol,buy,0.0612,0.8682
5,32,Nolvol Resources files routine patent applications in enterprise software,Nolvol,sell,-0.0298,0.9338
5,47,"Nolvol Resources reports record quarterly revenue, up 18% year-over-year",Nolvol,buy,0.9373,0.9578
6,2,Halvav Brands announces significant capital expenditure plan for Europe,Halvav,buy,0.7819,0.8006
6,3,Halvix Holdings secures $75M contract with a top-tier research institute,Halvix,buy,0.9257,0.9365
6,9,Halvav Brands delays product launch in cloud infrastructure segment,Halvav,sell,-0.9369,0.9456
6,11,Holtar Stores announces significant capital expenditure plan for North America,Holtar,buy,0.866,0.8859
6,17,Nolvav Commerce faces regulatory review of cloud infrastructure practices,Nolvav,sell,-0.58,0.6035
6,24,Nolvav Commerce secures $120M contract with a global retailer,Nolvav,buy,0.9369,0.9501
6,24,Holtar Stores completes strategic acquisition to strengthen automated logistics,Holtar,buy,0.912,0.9233
6,26,Holtar Stores faces class action over automated logistics service disruption,Holtar,sell,-0.9453,0.9566
6,28,Halvix Holdings completes planned facility upgrade in Europe,Halvix,buy,0.7785,0.7899
6,36,Halvix Holdings schedules annual shareholder meeting for next month,Halvix,sell,-0.0623,0.9042
6,48,Nolvav Commerce secures $120M contract with a leading cloud platform,Nolvav,buy,0.9395,0.9511
7,5,Myrnep Technologies sees 10% margin improvement in latest quarter,Myrnep,buy,0.9408,0.9581
7,15,Myrnep Technologies begins scheduled maintenance of precision manufacturing systems,Myrnep,buy,0.0691,0.896
7,16,"Myrnep Technologies reports record quarterly revenue, up 8% year-over-year",Myrnep,buy,0.937,0.9572
7,18,Joval Brands confirms participation in Emerging Markets Forum,Joval,buy,0.7548,0.7628
7,20,Joval Brands secures $75M contract with a leading cloud platform,Joval,buy,0.9294,0.9389
7,25,Myrnep Technologies recalls products in wireless connectivity line due to quality concerns,Myrnep,sell,-0.9624,0.9696
