session,bar_ix,headline,company,granular_sector,sector,sentiment,sentiment_score,confidence
0,51,Orevex Renewables begins scheduled maintenance of enterprise software systems,Orevex,Renewables,Energy,buy,0.0551,0.91
0,53,Yorvov Pharmaceuticals secures $120M contract with a multinational manufacturer,Yorvov,Pharmaceuticals,Healthcare,buy,0.9323,0.9424
0,55,Relvos Biosciences secures $800M contract with a national infrastructure agency,Relvos,Biosciences,Healthcare,buy,0.9315,0.9439
0,59,Calvis Sciences names new head of data analytics division,Calvis,Sciences,Healthcare,buy,0.0199,0.9048
0,62,Calvis Sciences sees mixed results in wireless connectivity pilot program,Calvis,Sciences,Healthcare,sell,-0.9234,0.9482
0,68,Yorvov Pharmaceuticals sees 20% margin improvement in latest quarter,Yorvov,Pharmaceuticals,Healthcare,buy,0.9362,0.9564
0,68,Relvos Biosciences to present at Tech Leadership Conference,Relvos,Biosciences,Healthcare,buy,0.051,0.9153
0,71,Yorvov Pharmaceuticals faces class action over data analytics service disruption,Yorvov,Pharmaceuticals,Healthcare,sell,-0.9406,0.9513
0,74,Orevex Renewables launches next-generation supply chain optimization platform,Orevex,Renewables,Energy,buy,0.2242,0.7595
0,82,Calvis Sciences begins scheduled maintenance of cloud infrastructure systems,Calvis,Sciences,Healthcare,buy,0.0784,0.8977
0,85,Orevex Renewables secures $120M contract with an international consortium,Orevex,Renewables,Energy,buy,0.9319,0.9425
1,51,Halvav Brands files routine patent applications in data analytics,Halvav,Brands,Consumer Goods,sell,-0.053,0.9129
1,63,Zrovex Industries delays product launch in automated logistics segment,Zrovex,Industries,Industrials,sell,-0.9236,0.9331
1,66,Strynal Industries announces breakthrough in enterprise software,Strynal,Industries,Industrials,buy,0.5781,0.5941
1,70,Jorvis Fuels sees 12% drop in new customer orders this quarter,Jorvis,Fuels,Energy,sell,-0.966,0.9748
1,76,Strynal Industries secures $320M contract with a leading cloud platform,Strynal,Industries,Industrials,buy,0.9375,0.9494
1,77,Halvav Brands names new head of renewable storage division,Halvav,Brands,Consumer Goods,buy,0.0275,0.9249
1,81,Zrovex Industries reports rising costs pressuring margins in digital payments,Zrovex,Industries,Industrials,sell,-0.9386,0.9633
1,88,Strynal Industries wins industry award for excellence in data analytics,Strynal,Industries,Industrials,buy,0.9043,0.9157
1,89,Strynal Industries warns of supply chain disruptions affecting Middle East operations,Strynal,Industries,Industrials,sell,-0.9379,0.9532
2,50,Kelvik Power opens new office in Asia Pacific,Kelvik,Power,Energy,buy,0.2591,0.7201
2,52,Prynis Systems sees mixed results in digital payments pilot program,Prynis,Systems,Technology,sell,-0.9172,0.9438
2,59,Kelvos Resources names new head of automated logistics division,Kelvos,Resources,Energy,buy,0.0225,0.9009
2,62,Zelval Energy launches next-generation supply chain optimization platform,Zelval,Energy,Energy,buy,0.227,0.7567
2,65,Kelvik Power faces class action over precision manufacturing service disruption,Kelvik,Power,Energy,sell,-0.9241,0.9377
2,69,Zelval Energy CTO addresses investor concerns in open letter,Zelval,Energy,Energy,sell,-0.0913,0.8247
2,71,Kelvos Resources announces breakthrough in renewable storage,Kelvos,Resources,Energy,buy,0.8088,0.8191
2,72,Prynis Systems secures $320M contract with a top-tier research institute,Prynis,Systems,Technology,buy,0.9291,0.9398
2,74,Kelvos Resources sees 15% margin improvement in latest quarter,Kelvos,Resources,Energy,buy,0.9393,0.9582
